Size,MergeSort,QuickSort,spacer,size,MS_OpCount,QS_OpCount
1,0.00000200,0.00000200,,1,0,0
101,0.00000000,0.00000300,,101,0,0
201,0.00000300,0.00000100,,201,0,0
301,0.00000100,0.00000200,,301,0,0
401,0.00000000,0.00000100,,401,0,0
501,0.00000100,0.00000100,,501,0,0
601,0.00000100,0.00000100,,601,0,0
701,0.00000200,0.00000100,,701,0,0
801,0.00000100,0.00000000,,801,0,0
901,0.00000100,0.00000100,,901,0,0
1001,0.00000200,0.00000000,,1001,0,0
1101,0.00000000,0.00000100,,1101,0,0
1201,0.00000100,0.00000200,,1201,0,0
1301,0.00000100,0.00000000,,1301,0,0
1401,0.00000000,0.00000100,,1401,0,0
1501,0.00000000,0.00000100,,1501,0,0
1601,0.00000200,0.00000100,,1601,0,0
1701,0.00000200,0.00000000,,1701,0,0
1801,0.00000200,0.00000000,,1801,0,0
1901,0.00000100,0.00000100,,1901,0,0
2001,0.00000100,0.00000000,,2001,0,0
2101,0.00000000,0.00000100,,2101,0,0
2201,0.00000200,0.00000100,,2201,0,0
2301,0.00000000,0.00000000,,2301,0,0
2401,0.00000000,0.00000000,,2401,0,0
2501,0.00000100,0.00000100,,2501,0,0
2601,0.00000100,0.00000000,,2601,0,0
2701,0.00000100,0.00000000,,2701,0,0
2801,0.00000000,0.00000000,,2801,0,0
2901,0.00000200,0.00000100,,2901,0,0
3001,0.00000000,0.00000200,,3001,0,0
3101,0.00000200,0.00000100,,3101,0,0
3201,0.00000700,0.00000000,,3201,0,0
3301,0.00000200,0.00000100,,3301,0,0
3401,0.00000100,0.00000000,,3401,0,0
3501,0.00000100,0.00000100,,3501,0,0
3601,0.00000200,0.00000100,,3601,0,0
3701,0.00000000,0.00000100,,3701,0,0
3801,0.00000000,0.00000100,,3801,0,0
3901,0.00000200,0.00000200,,3901,0,0
4001,0.00000000,0.00000100,,4001,0,0
4101,0.00000100,0.00000100,,4101,0,0
4201,0.00000000,0.00000000,,4201,0,0
4301,0.00000100,0.00000000,,4301,0,0
4401,0.00000200,0.00000000,,4401,0,0
4501,0.00000100,0.00000200,,4501,0,0
4601,0.00000200,0.00000000,,4601,0,0
4701,0.00000100,0.00000100,,4701,0,0
4801,0.00000100,0.00000000,,4801,0,0
4901,0.00000000,0.00000000,,4901,0,0
5001,0.00000100,0.00000100,,5001,0,0
5101,0.00000000,0.00000100,,5101,0,0
5201,0.00000200,0.00000000,,5201,0,0
5301,0.00000300,0.00000100,,5301,0,0
5401,0.00000100,0.00000100,,5401,0,0
5501,0.00000100,0.00000200,,5501,0,0
5601,0.00000100,0.00000000,,5601,0,0
5701,0.00000100,0.00000000,,5701,0,0
5801,0.00000000,0.00000200,,5801,0,0
5901,0.00000600,0.00000000,,5901,0,0
6001,0.00000100,0.00000100,,6001,0,0
6101,0.00000000,0.00000100,,6101,0,0
6201,0.00000000,0.00000000,,6201,0,0
6301,0.00000100,0.00000000,,6301,0,0
6401,0.00000300,0.00000100,,6401,0,0
6501,0.00000100,0.00000100,,6501,0,0
6601,0.00000100,0.00000000,,6601,0,0
6701,0.00000200,0.00000000,,6701,0,0
6801,0.00000000,0.00000100,,6801,0,0
6901,0.00000100,0.00000000,,6901,0,0
7001,0.00000100,0.00000000,,7001,0,0
7101,0.00000300,0.00000200,,7101,0,0
7201,0.00000100,0.00000000,,7201,0,0
7301,0.00000100,0.00000100,,7301,0,0
7401,0.00000100,0.00000100,,7401,0,0
7501,0.00000100,0.00000200,,7501,0,0
7601,0.00000100,0.00000100,,7601,0,0
7701,0.00000000,0.00000100,,7701,0,0
7801,0.00000100,0.00000000,,7801,0,0
7901,0.00000100,0.00000100,,7901,0,0
8001,0.00000100,0.00000000,,8001,0,0
8101,0.00000000,0.00000200,,8101,0,0
8201,0.00000100,0.00000000,,8201,0,0
8301,0.00000100,0.00000100,,8301,0,0
8401,0.00000100,0.00000000,,8401,0,0
8501,0.00000200,0.00000000,,8501,0,0
8601,0.00000000,0.00000200,,8601,0,0
8701,0.00000200,0.00000000,,8701,0,0
8801,0.00000200,0.00000000,,8801,0,0
8901,0.00000100,0.00000100,,8901,0,0
9001,0.00000100,0.00000200,,9001,0,0
9101,0.00002400,0.00000100,,9101,0,0
9201,0.00000000,0.00000100,,9201,0,0
9301,0.00000000,0.00000200,,9301,0,0
9401,0.00000000,0.00000100,,9401,0,0
9501,0.00000200,0.00000000,,9501,0,0
9601,0.00000100,0.00000100,,9601,0,0
9701,0.00000200,0.00000000,,9701,0,0
9801,0.00000000,0.00000200,,9801,0,0
9901,0.00000000,0.00000000,,9901,0,0
10001,0.00000100,0.00000100,,10001,0,0
